Ecoli_kcat_high,Ecoli_kcat_low,Ecoli_kapp_high,Ecoli_kapp_low,Yeast_kcat_high,Yeast_kcat_low,Yeast_kapp_high,Yeast_kapp_low
945364,P62620,P61949,P08192,P06169,P09624,P28239,P08524
945528,P62620,P69441,P77689,P49095,P17505,P49095,P32347
948336,P21645,P00350,P0ADG7,P49089,P07277,P16451,P38795
946554,P0AFU8,P0A717,P0A6I3,P12684,P10869,P16603,P18408
948467,P0AEK2,P0A953,P0A6I3,P16451,P08566,P05150,P43619
946799,P0A6T5,P69441,P0A9B2,P49089,P41835,P15625,P38689
946153,P0A6P9,P00350,P25539,P38795,P00560,P21306,P22768
944818,P29680,P08373,P06983,P21147,P15019,P41939,P06773
948336,P0A7B3,P0A6E1,P0AFU8,P15624,P00815,P42941,P07263
946165,Q46893,Q47146,P0AD57,P00549,P05694,P05150,P21264
946802,P0A6I3,P22939,P04805,P36421,P00360,P07806,P50861
945060,P31120,Q47146,P62617,P17505,P03962,P39006,P11353
,,P21177,P62617,P00549,P41911,P37299,P41911
,,P0A6D3,P17443,P15624,P32784,P12695,P10614
,,P37329,P62620,P38009,P50861,P47143,P05694
,,P22188,P62620,P09457,P15180,P10659,P07263
,,,,P39692,P07264,P05150,P07251
,,,,P12684,P06633,P28239,P04039
,,,,P28789,P38077,P07264,P15180
,,,,P07285,P00942,P15624,P19097
,,,,P36421,P07283,P15454,P17423
,,,,P21954,P08524,P05150,P00815
,,,,P47052,P07143,P05375,P38077
,,,,P15625,P32178,P15625,P39954
,,,,P38840,P07277,P15454,P06208
,,,,P28272,P38169,P21306,P00359
,,,,P39006,P08566,P38627,P07251
,,,,P38795,P29952,P15454,P00927
,,,,P21147,P48015,P16622,P37254
,,,,P05375,P00815,P50113,P04037
,,,,P19097,P04161,P21147,P47119
,,,,P15625,P00360,P43567,P07702
,,,,P05626,P52910,P00912,P10869
,,,,P48445,P29704,P10659,P16120
,,,,P20049,P32264,P31116,P15700
,,,,P19097,P38077,P28240,P28272
,,,,P16387,P24521,P32622,P07255
,,,,P07172,P32895,P24521,P16387
,,,,P29509,P15700,P39692,P04802
,,,,P07264,P06633,P08525,P07251
,,,,P28272,P15019,P32347,P04173
,,,,P16622,P00830,P07264,P27616
,,,,P07172,P05375,P36010,P41338
,,,,P00560,P00958,P37291,P32473
,,,,P33330,P05694,P47125,P09624
,,,,P37012,P47119,P31116,P40825
,,,,P32473,P25340,P25340,P13298
,,,,P05626,P08566,P05150,P07257
,,,,P07264,P06208,P21147,P00830
,,,,P36010,P41835,P28789,P41940
,,,,P29509,P22768,P00498,P06633
,,,,P25340,P36013,P49095,P04161
,,,,P08417,P32799,P46655,P32476
,,,,P38009,P37299,P12709,P07149
,,,,P29509,P00427,P09624,P47096
,,,,P38840,P39006,P36010,P40545
,,,,P00815,P00890,P16387,P00931
,,,,P19262,P00927,P06197,P38891
,,,,P38999,P09436,P47164,P29704
,,,,P15454,P15700,P09457,P06633
,,,,P32473,P07285,P29704,P05626
,,,,P16451,P00942,P04801,P29509
,,,,P32462,P09436,P09436,P38998
,,,,P22803,P38169,P10174,P41911
,,,,P24521,P00899,P49095,P37299
,,,,P15625,P11353,P28274,P00958
,,,,P05150,P37292,P07256,P07149
,,,,P07149,P17423,P38009,P40825
,,,,P32178,P06633,P12709,P13188
,,,,P08525,P05694,P38998,P00498
,,,,P22803,P36148,P32462,P15700
,,,,P32347,P47119,P39708,P31688
,,,,P39522,P05375,P10659,P28777
,,,,P12709,P00427,P00128,P37254
,,,,P22803,P00830,P32347,P29509
,,,,P16862,P28789,P07256,P21375
,,,,P12709,P39006,P31116,P07285
,,,,P05150,P07256,P30902,P40545
,,,,P07264,P15454,P05150,P41835
,,,,P47011,P27472,P16622,P53848
,,,,P37291,P38145,P08465,P41835
,,,,P49367,P07143,P09436,P28789
,,,,P36010,P00899,P23254,P38891
,,,,P07702,P06633,P20049,P15454
,,,,P16622,P05375,P24521,P41835
,,,,P10869,P37299,P46969,P49095
,,,,P39522,P47176,P12709,P13188
,,,,P33312,P36148,P11353,P38998
,,,,P38689,P17423,P38009,P13188
,,,,P31688,P00815,P08525,P00815
,,,,P40510,P00498,P32861,P10614
,,,,P00927,P06208,P00128,P00815
,,,,P38840,P38066,P16603,P00931
,,,,P09950,P53090,P38077,P32622
,,,,P06197,P04173,P36010,P51601
,,,,P47164,P43619,P15180,P40012
,,,,P26637,P24521,P32473,P00127
,,,,P09624,P11986,P37012,P39954
,,,,P00958,P04037,P00950,P22803
,,,,P17505,P21306,P38077,P07245
,,,,P31688,P38689,P38972,P30902
,,,,P05150,P38858,P37291,P28272
,,,,P17423,P07263,P36013,P50095
,,,,P15700,P09950,P32347,P39006
,,,,P20049,P05375,P10869,P11986
,,,,P32179,P00899,P28272,P11353
,,,,P25340,P41835,P21264,P07807
,,,,P07256,P00498,P30902,P07256
,,,,P38635,P08067,P27472,P03962
,,,,P07284,P40495,P00830,P47096
,,,,P07251,P23254,P37292,P04801
,,,,P38840,P40495,P10869,P32288
,,,,P06197,P21264,P37012,P06633
,,,,P21264,P21147,P10174,P04173
,,,,P06197,P39726,P07806,P50861
,,,,P28241,P38840,P20049,P32377
,,,,P28239,P07285,P07806,P07251
,,,,P00942,P12684,P38635,P07257
,,,,P16550,P33734,P15625,P38840
,,,,P21375,P00942,P37254,P08417
,,,,P14020,P08465,P32377,P15624
,,,,P24521,P16862,P00498,P40012
,,,,P20049,P40545,P21264,P47176
,,,,P47169,P38840,P47011,P11353
,,,,P32462,P07285,P38972,P43619
,,,,P33734,P00360,P31688,P32178
,,,,P32288,P15700,P33312,P07255
,,,,P15496,P50095,P16622,P04161
,,,,P06197,P13663,P13298,P04173
,,,,P38625,P07255,P00830,P10614
,,,,P19414,P38998,P32895,P06633
,,,,P07807,P07256,P09436,P40495
,,,,P16622,P32347,P06197,P39954
,,,,P17423,P08524,P48445,P14020
,,,,P29509,P10869,P32288,P11353
,,,,P28272,P00927,P16622,P07283
,,,,P32264,P00958,P38077,P06168
,,,,P32462,P10174,P53128,P32377
,,,,P00560,P33734,P32179,P47169
,,,,P38169,P00942,P33330,P39726
,,,,P48445,P27616,P07257,P29704
,,,,P07143,P49089,P32473,P05626
,,,,P19414,P38891,P38625,P38009
,,,,P38077,P04046,P27616,P09624
,,,,P07257,P00360,P38999,P07263
,,,,P00128,P08456,P16120,P40545
,,,,P38169,P09950,P00560,P40545
,,,,P08465,P04037,P38972,P36148
,,,,P32179,P37299,P07255,P23542
,,,,P53128,P38169,P00830,P07342
,,,,P08456,P07284,P00498,P17423
,,,,P32462,P00815,P38625,P32895
,,,,P07255,P16862,P05694,P38998
,,,,P04801,P38635,P50861,P21375
,,,,P46969,P00899,P15019,P10614
,,,,P04039,P40545,P38795,P52867
,,,,P10869,P33312,P39006,P29509
,,,,P25340,P16603,P32178,P24521
,,,,P00427,P10869,P16622,P00912
,,,,P38625,P29952,P15180,P12709
,,,,P38145,P38998,P00942,P07806
,,,,P40012,P04046,P05373,P00958
,,,,P32288,P31116,P47125,P07702
,,,,P17423,P16550,P21954,P22768
,,,,P47176,P50861,P38635,P04037
,,,,P15700,P07284,P41940,P06168
,,,,P37292,P05694,P38625,P23542
,,,,P04802,P36148,P47011,P05626
,,,,P14020,P40825,P28272,P07257
,,,,P29704,P36148,P37012,P13298
,,,,P31116,P15454,P00560,P39954
,,,,P08524,P32288,P41911,P12709
,,,,P49367,P43619,P25340,P07244
,,,,P29952,P38077,P32462,P38635
,,,,P10659,P04161,P37291,P09950
,,,,P49095,P15624,P00549,P07806
,,,,P38891,P06168,P07342,P18544
,,,,P32179,P40012,P04039,P08417
,,,,P27616,P06197,P18408,P10356
,,,,P32582,P09950,P23254,P15454
,,,,P04802,P39954,P38145,P15624
,,,,P06208,P00942,P39006,P07143
,,,,P38009,P38145,P32476,P05694
,,,,P16550,P43567,P32799,P38604
,,,,P00931,P09950,P32476,P16550
,,,,P38625,P29952,P38707,P04039
,,,,P38635,P00958,P00912,P15624
,,,,P32264,P08566,P22768,P31688
,,,,P36421,P09436,P49089,P36421
,,,,P16622,P41338,P38077,P16862
,,,,P17423,P14020,P18544,P05375
,,,,P37012,P12695,P50113,P41338
,,,,P00549,P23254,P28272,P09950
,,,,P38635,P11353,P16120,P13663
,,,,P38625,P32582,P38635,P38840
,,,,P36148,P11412,P38625,P46655
,,,,P16550,P12684,P38067,P07244
,,,,P13298,P21264,P05694,P08067
,,,,P47011,P07702,P07806,P04046
,,,,P07255,P40495,P30902,P37291
,,,,P16862,P07257,P06197,P12695
,,,,P06633,P00128,P06208,P48015
,,,,P26637,P07285,P41338,P07342
,,,,P38221,P38066,P11353,P30902
,,,,P38604,P28239,P28777,P32288
,,,,P38426,P07702,P31688,P52910
,,,,P38998,P07149,P08456,P22803
,,,,P00890,P20967,P38221,P47169
,,,,P07264,P09440,P07702,P33734
,,,,P05373,P04037,P16862,P08524
,,,,P20051,P06785,P07143,P07256
,,,,P52910,P11353,P04802,P32476
,,,,P16550,P00830,P50113,P38009
,,,,P10659,P32582,P15624,P52867
,,,,P10614,P23542,P25340,P15496
,,,,P28272,P09950,P38840,P26637
,,,,P16550,P38635,P39522,P00942
,,,,P30902,P32895,P11986,P00560
,,,,P47164,P06208,P39692,P11986
,,,,P47176,P06169,P08067,P21147
,,,,P18408,P06208,P06197,P07342
,,,,P39522,P12684,P05626,P10659
,,,,P38708,P38858,P39522,P43619
,,,,P17423,P38891,P06197,P30902
,,,,P32377,P16550,P04173,P00127
,,,,P13663,P32178,P07283,P16862
,,,,P38604,P22133,P14843,P00931
,,,,P07251,P08417,P00912,P22133
,,,,P39708,P04161,P04039,P39522
,,,,P47169,P38972,P07172,P00927
,,,,P32340,P00942,P07251,P19097
,,,,P29704,P07255,P40825,P16120
,,,,P22133,P07149,P38635,P07807
,,,,P39522,P04037,P38999,P40495
,,,,P38708,P21264,P38426,P04046
,,,,P00899,P32895,P07251,P25340
,,,,P38998,P40825,P00931,P43619
,,,,P05626,P32347,P10614,P32264
,,,,P14843,P38708,P46969,P00931
,,,,P20051,P00358,P23542,P00942
,,,,P10174,P47119,P07149,P10356
,,,,P32895,P17649,P28789,P10869
,,,,P06197,P21375,P14020,P38221
,,,,P31116,P32582,P32476,P32895
,,,,P30402,P07172,P07245,P00127
,,,,P38635,P05375,P38625,P04046
,,,,P52867,P07257,P18544,P00931
,,,,P53045,P22803,P07251,P32179
,,,,P28789,P32473,P32861,P16120
,,,,P00830,P12709,P13298,P52910
,,,,P37292,P28777,P17423,P46969
,,,,P07245,P16862,P00890,P07277
,,,,P04173,P27616,P37291,P07256
,,,,P38635,P04046,P38708,P00890
,,,,P38221,P00890,P32178,P00927
,,,,P06208,P00498,P47119,P38840
,,,,P29952,P00815,P32462,P12709
,,,,P12684,P15180,P00942,P38998
,,,,P04801,P07285,P18408,P21306
,,,,P00427,P08456,P32264,P07807
,,,,P40825,P07245,P41338,P20049
,,,,P11986,P04173,P08525,P09624
,,,,P51601,P06169,P08524,P38077
,,,,P05694,P00128,P08417,P05626
,,,,P05626,P09436,P05694,P32178
,,,,P04173,P50113,P08566,P22133
,,,,P29952,P17423,P16550,P23542
,,,,P00549,P03962,P43567,P16550
,,,,P28777,P31688,P07251,P11353
,,,,P50113,P04046,P36010,P32895
,,,,P00427,P20049,P32316,P38913
,,,,P08566,P32377,P38145,P46969
,,,,P27616,P47169,P17423,P00958
,,,,P33312,P36148,P40825,P47176
,,,,P51601,P07149,P15180,P16862
,,,,P38708,P08525,P15019,P38795
,,,,P07283,P20049,P08465,P16862
,,,,P32178,P00927,P07264,P38998
,,,,P00912,P04046,P07251,P07285
,,,,P38145,P05694,P11412,P18408
,,,,P07807,P37292,P10869,P38221
,,,,P07251,P20967,P00560,
,,,,P53128,P08456,,
,,,,P04173,P14020,,
,,,,P07702,P38998,,
,,,,P38689,P47143,,
,,,,P32895,P32476,,
,,,,P09436,P16387,,
,,,,P07244,P18408,,
,,,,P32476,P22803,,
,,,,P19414,P51601,,
,,,,P38708,P32582,,
,,,,P32462,P43567,,
,,,,P39954,P48015,,
,,,,P48015,P41835,,
,,,,P29704,P51601,,
,,,,P00958,P32377,,
,,,,P39692,P36010,,
,,,,P04161,P06168,,
,,,,P16387,P38858,,
,,,,P11986,P04039,,
,,,,P51601,P31688,,
,,,,P11986,P14020,,
,,,,P08525,P16120,,
,,,,P36421,P00498,,
,,,,P40545,P28272,,
,,,,P11986,P07283,,
,,,,P00927,P04802,,
,,,,P38625,P07255,,
,,,,P32347,P07256,,
,,,,P38145,P08566,,
,,,,P22133,P25340,,
,,,,P07257,,,
,,,,P13188,,,
,,,,P32264,,,
,,,,P49367,,,
,,,,P08456,,,
